env_id,delta_y,elapsed_time,goal
0,64.12120056152344,75.0,True
1,63.511566162109375,75.0,True
2,63.93740463256836,75.0,True
3,53.389705657958984,,False
4,53.637481689453125,,False
5,53.967193603515625,,False
6,63.287742614746094,75.0,True
7,53.412322998046875,,False
8,63.988922119140625,75.0,True
9,38.442596435546875,,False
10,40.944091796875,,False
11,38.68838882446289,,False
12,63.374664306640625,75.0,True
13,64.67916870117188,75.0,True
14,40.94605255126953,,False
15,64.2887954711914,75.0,True
16,64.2474136352539,75.0,True
17,63.55418395996094,75.0,True
18,64.45667266845703,75.0,True
19,41.604347229003906,,False
20,63.676570892333984,75.0,True
21,64.30326080322266,75.0,True
22,63.73537063598633,75.0,True
23,53.64118957519531,,False
24,40.018035888671875,,False
25,63.50703811645508,75.0,True
26,41.86853790283203,,False
27,42.85761260986328,,False
28,63.99029541015625,75.0,True
29,41.554443359375,,False
30,63.82126235961914,75.0,True
31,41.99224853515625,,False
32,64.20811462402344,75.0,True
33,53.57294464111328,,False
34,63.51050567626953,75.0,True
35,23.259191513061523,,False
36,42.502830505371094,,False
37,41.13484191894531,,False
38,64.0529556274414,75.0,True
39,41.093910217285156,,False
40,64.45394897460938,75.0,True
41,64.10356903076172,75.0,True
42,41.40165328979492,,False
43,37.86817932128906,,False
44,64.3797378540039,75.0,True
45,63.49224853515625,75.0,True
46,63.85282897949219,75.0,True
47,63.412132263183594,75.0,True
48,64.06047058105469,75.0,True
49,64.04920959472656,75.0,True
50,63.89128494262695,75.0,True
51,64.06825256347656,75.0,True
52,22.232234954833984,,False
53,53.85936737060547,,False
54,64.33840942382812,75.0,True
55,64.83538818359375,75.0,True
56,63.640411376953125,75.0,True
57,27.08294677734375,,False
58,63.82318115234375,75.0,True
59,64.32861328125,75.0,True
60,42.25273132324219,,False
61,63.94451904296875,75.0,True
62,64.48744201660156,75.0,True
63,42.01129150390625,,False
64,64.22378540039062,75.0,True
65,39.077674865722656,,False
66,22.82538604736328,,False
67,41.060394287109375,,False
68,42.093658447265625,,False
69,63.30415344238281,75.0,True
70,64.30518341064453,75.0,True
71,21.61835479736328,,False
72,41.77751922607422,,False
73,63.572471618652344,75.0,True
74,53.34910583496094,,False
75,63.34571075439453,75.0,True
76,63.61360168457031,75.0,True
77,63.787391662597656,75.0,True
78,53.850494384765625,,False
79,41.48347473144531,,False
80,42.9879035949707,,False
81,22.604660034179688,,False
82,64.16310119628906,75.0,True
83,41.71242904663086,,False
84,42.92567443847656,,False
85,41.96360397338867,,False
86,63.412742614746094,75.0,True
87,53.82004165649414,,False
88,53.85610580444336,,False
89,38.49626922607422,,False
90,41.09679412841797,,False
91,42.904823303222656,,False
92,64.4471206665039,75.0,True
93,38.56623077392578,,False
94,27.485301971435547,,False
95,53.79865264892578,,False
96,63.34519958496094,75.0,True
97,64.28450012207031,75.0,True
98,53.67940902709961,,False
99,41.24862289428711,,False

平均移動距離,52.72738676071167
平均ゴール到達時間,75.0
ゴール到達割合,0.49
