env_id,delta_y,elapsed_time,goal
0,42.396480560302734,,False
1,64.55901336669922,60.0,True
2,53.13703918457031,,False
3,64.80547332763672,62.620000000000005,True
4,2.306417465209961,,False
5,64.35103607177734,63.620000000000005,True
6,64.16893768310547,63.9,True
7,39.225242614746094,,False
8,64.21917724609375,61.78,True
9,64.1197738647461,60.4,True
10,64.3587646484375,63.56,True
11,63.8524284362793,61.82,True
12,39.7276725769043,,False
13,42.170963287353516,,False
14,64.10867309570312,60.5,True
15,13.480491638183594,,False
16,64.45084381103516,61.84,True
17,39.16768264770508,,False
18,1.676382064819336,,False
19,40.015316009521484,,False
20,27.443313598632812,,False
21,39.19819641113281,,False
22,64.51575469970703,61.86,True
23,39.323204040527344,,False
24,39.65225601196289,,False
25,1.221181869506836,,False
26,64.4869384765625,62.1,True
27,65.10737609863281,60.9,True
28,64.11158752441406,64.2,True
29,27.95654296875,,False
30,64.16178131103516,61.18,True
31,40.99966812133789,,False
32,64.56584930419922,61.26,True
33,52.993431091308594,,False
34,39.61641311645508,,False
35,64.02290344238281,61.36,True
36,39.21986389160156,,False
37,64.15554809570312,60.58,True
38,1.74627685546875,,False
39,64.74028015136719,59.9,True
40,64.12721252441406,64.52,True
41,64.21270751953125,60.74,True
42,64.48124694824219,59.64,True
43,40.20533752441406,,False
44,64.43421936035156,63.24,True
45,64.80287170410156,60.480000000000004,True
46,64.83540344238281,61.2,True
47,64.24493408203125,63.52,True
48,41.162776947021484,,False
49,42.40576171875,,False
50,64.21328735351562,61.660000000000004,True
51,63.92608642578125,61.660000000000004,True
52,46.38776397705078,,False
53,41.574462890625,,False
54,64.38571166992188,60.86,True
55,64.22583770751953,60.76,True
56,64.57447814941406,62.86,True
57,65.16500854492188,62.68,True
58,64.4376220703125,60.86,True
59,64.71894073486328,61.68,True
60,63.292320251464844,62.26,True
61,41.74613952636719,,False
62,64.75440216064453,63.480000000000004,True
63,39.7939338684082,,False
64,54.32371520996094,,False
65,64.75713348388672,61.18,True
66,42.23004150390625,,False
67,65.11715698242188,60.52,True
68,23.709259033203125,,False
69,40.26249313354492,,False
70,14.6443510055542,,False
71,64.5476303100586,60.88,True
72,64.6653060913086,62.18,True
73,63.821678161621094,60.58,True
74,64.31710052490234,61.1,True
75,64.89259338378906,62.38,True
76,64.73825073242188,61.9,True
77,39.36988067626953,,False
78,29.538496017456055,,False
79,29.936479568481445,,False
80,64.19805908203125,61.5,True
81,64.3234634399414,59.94,True
82,42.082706451416016,,False
83,54.909889221191406,,False
84,64.41829681396484,61.6,True
85,64.18374633789062,60.34,True
86,39.741111755371094,,False
87,53.71514892578125,,False
88,64.87911224365234,62.18,True
89,40.20502471923828,,False
90,64.71348571777344,60.92,True
91,65.16969299316406,61.4,True
92,65.10889434814453,61.4,True
93,31.327247619628906,,False
94,64.60083770751953,62.52,True
95,64.45245361328125,67.06,True
96,38.250091552734375,,False
97,21.88475227355957,,False
98,45.80219650268555,,False
99,64.92657470703125,61.76,True

平均移動距離,51.43408995628357
平均ゴール到達時間,61.76036363636363
ゴール到達割合,0.55
